作者,段子内容 
空城旧梦她与伞,我和闺女两个都感冒了，去社区医院打针，她输液，我就屁 股 上打了一针。回到家里，闺女撒娇的和我媳妇说道：妈妈，我手打针好疼啊。媳妇立马揉了揉闺女的手，吹了一口气，说道：来，妈妈揉一揉，吹一吹，是不是好多了 。闺女一脸崇拜：真的好多了，妈妈好厉害呀。媳妇一脸得意：那可不。你妈妈我可是下凡的小仙女哟，手指是金手指，吹的也是仙气。在一旁的我连忙说道：来来，小仙女，我这屁 股上打针那地方，也有点疼。噼啪……，哎哟……，这特么哪门子小仙女，动不动就踢人，我屁 股 这下真疼啦。
孤心筱月,男朋友来家里蹭饭，老爸赶我去厨房跟老妈学做菜。男友忙献殷勤：“爸，您不用逼小胖学做菜，我会做。以后结婚了，我做给她吃。”老爸笑道：“这是两码事!结婚后，你要不要她做饭是你的事，她会不会做饭就是我的事了。”
可爱到家了,免费算命 只需要带上自拍一张 帮你测测未来的女朋友是不是我 非常准
净心居士,今天公司要填个人资料，其中有一项是血型。我也不知道我自己是啥血型，看着同事有填A型，有填B型，有AB型的。。。于是我直接填了C型血[捂脸][捂脸][捂脸]谁能知道还没到下班时间，我就成了公司的风云人物。全球唯一一个拥有C型血的[大笑][大笑][大笑]
骑着二哈啃黄瓜,公司是有养保安犬的，晚上就会放出来，围着公司四周巡逻防止宵小之徒。。。。。。昨天半夜三更，本来点好准备吃夜宵，夜班出异常，就只好打包过去看看。保安岗，保安不在，只有犬犬在，我叫半天没人开门，我只好把打包的美食给了犬犬。犬犬用嘴挑开夜宵，看了看，吃了两口，然后跳上桌子，用爪子按了下遥控按钮，大门就打开了。。。
长生种·阿获,公司是有养保安犬的，晚上就会放出来，围着公司四周巡逻防止宵小之徒。。。。。。昨天半夜三更，本来点好准备吃夜宵，夜班出异常，就只好打包过去看看。保安岗，保安不在，只有犬犬在，我叫半天没人开门，我只好把打包的美食给了犬犬。犬犬用嘴挑开夜宵，看了看，吃了两口，然后跳上桌子，用爪子按了下遥控按钮，大门就打开了。。。
小恩的老公8,早上让儿子写作业，老是偷着玩游戏，我狠狠的说了他一顿，让他站在院子里反思。儿子站在院中仰望45°天空反思后回来认真写作业，后来居然不用我说，每天早上自己跑到院中反思，孺子可教也，我很欣慰。看到儿子再次反思，我有些心疼过去喊他回来，这时听到儿子喃喃自语：李阿婆家的桃子怎么还没长大啊，说完还吞了下口水……
笨小子，说宠我,~周末跟哥哥嫂子还有侄女去游乐场玩儿。这一天玩的嗨呀，手机拍照都拍没电了，下午准备从游乐场出来时看到角落的鬼屋，我跟我哥说我想进去看看，我哥还没说啥，侄女拦住我带着哭腔说“姑姑，别去，听说里面有僵尸恶鬼，你要被鬼吃了，我就没姑姑了，”看着眼睛里噙着眼泪的侄女，我感动的说“好好好，姑姑不去了，你别哭。。”回到家，我得意的跟我妈说“别看我跟妞妞天天吵架，关键时刻，她还挺关心我的。。”侄女在一旁撇撇嘴说“要不是你手机没电，还得让我爸给你买门 票，我才不管你，天天偷我零食，让鬼吃了你才好……”
大小可爱爱爱,哥们小张陪朋友们相亲多次还都成功了！把单身的我羡慕的不得了！相亲经常失败的我也决定请小张出山，小张也乐此不疲！那天我们驱车去女方家相亲，美女长得很漂亮，鹅 蛋脸，丹凤眼，真的美，我一眼就看上了！一番交谈后，就回家等女方消息了，可一等半月石沉大海了，女方根本没给回话！(就是看不上我)，让介绍人去问，特么居然看上哥们小张了！
歌歌哒f,刚拿到驾照时有天开车上路，前面一大姐骑着摩托车，可能衣服显小裹着腰上的肉一圈叠一圈好像某其林轮胎，我看的有些出神没注意她突然停车，结果追尾了，我赶紧下车查看并询问……大姐拉了拉衣服说道：小兄弟，我长这样是不是容易引起你犯罪啊……
千丝雨ベ万人迷,昨天我心血来潮，想给男友做他最害怕的东西当面包。想来想去，好像他最怕我，我就捏了一个小公主版的我，打开烤箱的那一刻，我说:你最害怕的东西来了!男友笑的前仰后翻，上气不接下气的说:嗯，我确定最害怕它，害怕它不讲卫生，害怕它天天哼哼唧唧!我反驳:我哪里不讲卫生啦！我哪里哼哼唧唧啦！打死你!额，面包中我的盛世美颜，怎么变成猪头了!
义行天下7,高中时，我们班的班花小李那可是相当的漂亮，有沉鱼落雁之美，闭花羞月之貌，她喜欢穿白色衣服，我们大家都喜欢喊她小天鹅！时隔多年，同学们聚会，长相很丑的小张居然开着宝马载着班花小李一起来了，小李还是一如既往的美，更多了一些丰 满！真是令人羡慕不已！大家相互的敬酒，发言，纷纷夸奖小张混的好，又抱的美人归……小张看我一言不发，问到:义哥，你也说句话呀！我咳咳了两声，开玩笑的说:那我就实话实说了啊，小张啊，你可真是我们班混的最好的赖蛤蟆……
无书斋主,刚毕业那会，应聘进了当地一家很不错的公司，很开心！领导也很器重我，上班第一天就叫我去面试应聘人员！！一天下来，有一位二十八九的大哥很不错，各方面都很优秀，我在上面备注：优秀，能力高于所应聘的岗位，建议不录用，理由：怕呆不久！第二天，我被开了，老板说我气量太小，妒才！！！……
梦若流水,酒店值夜班，我和餐饮部美女经理当班。我俩巡完楼回来，都凌晨一点多了，多少有点饿，就在值班室里喝了罐听啤。美女说:看把你饿的，想吃肉么？说完就走了，我满怀期待地等着过了十几分钟，她提了一个黑袋子过来:快吃吧，还热乎呢。我打开一看:粘鼠板上一只老鼠在动
凋零人生,辞职了，老公没有任何怨言，只说了句 : “ 没事我养你。” 当时各种感动。从来不管钱的我在家无聊就算了算，自从不上班省了交通费、饭费、电话费，化妆品、衣服、包包买的也少了，算完一看，辞职后家里攒钱比我上班的时候多了，这尼玛什么情况，终于理解他这么支持我辞职了！
芭蕉窗下听雨声,跟闺蜜说：我们这边最近免费安装天然气还送天然气灶。闺蜜关心的说：你家都安装好了没？我忐忑的说：我没让安装。我怕天然气爆炸和失火。我感觉还是用电比较放心......谁知闺蜜说：走，我带你到山上砍个棍子，你带着你家妞妞一块出去乞讨吧！啥都不怕了......[捂脸][捂脸]
十里柔情一帘幽梦,今天第一天全员上班，同事们见面在一起讨论在家两个多月的感触，年轻人说压力大，上有老下有小，只发基本工资，物价又上涨。年龄大的说天天提心吊胆，紧张兮兮，怕不小心中招。我在旁边一直没开口，有同事推推我：你这段时间有啥感想？其他同事笑了：她能有啥感想，你看她胖成这样，肯定是心无杂念的胡吃闷睡了！
山鹰寂寞飞,今天第一天全员上班，同事们见面在一起讨论在家两个多月的感触，年轻人说压力大，上有老下有小，只发基本工资，物价又上涨。年龄大的说天天提心吊胆，紧张兮兮，怕不小心中招。我在旁边一直没开口，有同事推推我：你这段时间有啥感想？其他同事笑了：她能有啥感想，你看她胖成这样，肯定是心无杂念的胡吃闷睡了！
骑着二哈啃黄瓜,公司新来了一个副总裁，听说是高才，发际线过半那种，不过快40了还单身。我拜码头，寒暄，我也被他的发际线震惊了，正想夸他头型，聪明绝顶，空前绝后呢，激动的握住他的手说:王总您仪表堂堂，真的从聪明绝后啊。。。。
骑着二哈啃黄瓜,公司新来了一个副总裁，听说是高才，发际线过半那种，不过快40了还单身。我拜码头，寒暄，我也被他的发际线震惊了，正想夸他头型，聪明绝顶，空前绝后呢，激动的握住他的手说:王总您仪表堂堂，真的从聪明绝后啊。。。。
歌歌哒f,公司新来了一个副总裁，听说是高才，发际线过半那种，不过快40了还单身。我拜码头，寒暄，我也被他的发际线震惊了，正想夸他头型，聪明绝顶，空前绝后呢，激动的握住他的手说:王总您仪表堂堂，真的从聪明绝后啊。。。。
五少爷的刀,那年我失恋了，冲动之下，就想从二十多米高的铁路桥上跳下来，看她良心会不会痛。可是等我来到了桥上，扶着栏杆往下一看，当时就吓得瘫在了地上，双手死死的抱住栏杆，闭紧了双眼，动都不敢动一下！特么的！！我忘了，我有恐高症啊！！[捂脸][捂脸][捂脸]
曙光l女神,感冒后喉咙嘶哑，一直不好，我一怒之下剪了个板寸！……今天堂哥相亲，他求我去帮他参谋参谋，我想想能吃白食就去了！！……回家还没坐十分钟，伯母过来埋怨:你说你跟着过去干嘛？现在人家姑娘看上你了……我……
空城旧梦她与伞,那年，在广东谈了个外省女朋友，第一次去她家的时候，明显看出她父母不太欢迎我。中午吃饭时，桌子上就摆了一盘清炒藕片，一碗水煮蛋(连蛋壳一起煮的)。她妈妈不停的夹藕片给我，嘴里还说着，你吃藕你吃藕。她爸爸则拿起一个蛋，在桌子上滚来滚去。唉……，我放下筷子说道：叔叔阿姨，您家这次煮的饭略微有点夹生，我和您女儿都喜欢吃熟饭，还有，我不吃藕，我喜欢吃白菜。
空城旧梦她与伞,陪老婆去步行街买衣服，繁华地段有个大爷正跪在那里乞讨，衣衫褴褛，瑟瑟发抖，老婆也是心善，给了十块钱。走过了几步，老婆突然说道：老公，以后我要对你好点。我惊讶道：今天太阳从西边出来啦？老婆：不是啊，我是觉得你和那乞丐大爷有点像，都很可怜。我生气道：胡说八道，你老公我才三十出头，也算英俊潇洒，那大爷起码七十岁了，哪里像？老婆道：你看啊，他跪在地上，像不像你前天晚上跪榴莲的样子？他嘴里一直说着行行好行行好，像不像你昨天问我要十块钱买烟的样子？尼玛……
芭蕉窗下听雨声,老公回来给我带了四个鸟笼，问我喜欢鹦鹉还是八哥？我说只要会说话的都行。要不你去贵州给我抓个猫头鹰也行啊！他哈哈一笑说：你这孩子咋啥都敢想呢？我看应该到草原给你抓只雕回来天天给你抓啤酒.......[捂脸][捂脸]
无书斋主,昨晚，岳父来了个朋友，打会小牌缺个人，我临时凑个角！散场时输了五百多块……老婆虽然没说什么，但明显有点不高兴！打牌时是你叫我的，输钱了你说我禀性难移！！我都戒了三年了，不怪我！……
空城旧梦她与伞,昨晚，岳父来了个朋友，打会小牌缺个人，我临时凑个角！散场时输了五百多块……老婆虽然没说什么，但明显有点不高兴！打牌时是你叫我的，输钱了你说我禀性难移！！我都戒了三年了，不怪我！……
老巫婆～～,二货闺蜜说给我分享一个驱蚊小妙招，就是在床 边放一碗鸭血，那样蚊子有了血源就不会yao人了！我翻了翻白眼问她：那你试 了 效 果怎么样？闺蜜：我还没试，先分享给你让你试验一下！我………
老巫婆～～,二货闺蜜说给我分享一个驱蚊小妙招，就是在床 边放一碗鸭血，那样蚊子有了血源就不会yao人了！我翻了翻白眼问她：那你试 了 效 果怎么样？闺蜜：我还没试，先分享给你让你试验一下！我………
吴鑫卞布慧授伤,起来迟了没吃早饭，这时有个小哥哥寄快递，我一看，好多巧克力，蛋糕。小哥哥填单子的时候我拿着巧克力忍不住吞口水，恋恋不舍的往箱子里放，这时肚子不争气的咕噜咕噜的叫了起来。这时小哥哥看看我说：我不寄了。拿起东西就跑了。。。
啥也不是ヽ,嫂子娘家有个养猪场，前几天闲着没事和嫂子回她娘家玩，她一回娘家就忙的不得了，我寻思着闲着也是闲着，就帮她扫一下猪粪。扫到一半，看见一个猪突然往后面退，我还没反应过来的时候这个猪居然对着我放了三个屁，然后就跑了……气的我是一天没吃下饭，越想越气不过，然后我今天就跑去把那个猪打了一顿！结果却没认出来是哪一头猪……
净心居士,哥们从小就喜欢看科幻异能的电影，希望自己有一天也能获得一种超能力。没想到他结婚以后居然获得了和闪电侠一样的超能力。
花七七…,一个发小在愚人 节时打电话给她媳妇说骑电动车时被撞了，飞出去五十多米，双腿骨折。然而他媳妇听到消息后却带着女儿失 联 了……
山鹰寂寞飞,一个发小在愚人 节时打电话给她媳妇说骑电动车时被撞了，飞出去五十多米，双腿骨折。然而他媳妇听到消息后却带着女儿失 联 了……
你不懂蛋蛋的忧伤,很多人只是看起来长大了而已，学着别人的样子努力工作，学着别人的样子追求金钱地位，假惺惺的希望人生步入正轨，而实际上每天人出门以后，灵魂都还窝在被子里看动画片。
花落彼岸～任逍遥,跟我哥聊天我问他:“哥有没有比较轻松的工作，躺着就能把钱挣了的呢？我哥说:“还真有，要不你去 碰 瓷 吧，就算出现意外还有专业团队，你出事，他们扛。”
无书斋主,今天老婆的同学从福州来长沙，去机场接的时间，我开的一哥们的豪车！她同学（女）坐下来在挂挡处拿起一张小卡片，微笑着对我说：正哥，不该放的还是别放啊！！我正想说车不是我的时，她又来了句：唉，正哥，看你温文尔雅的样子，其实是个渣男！！……我……
无书斋主,单位小李比较腼腆，给小刘写了封情书不敢自己给，托我转交！今早，小刘来我办公室：正叔，虽然平时叫你正哥，但你别忘了，你结婚了，大我十多岁，是叔叔级的人。还有，画画（我老婆）和我也算闺蜜，你给我写情书合适吗？……说完，把我转交给她的信摔在办公桌走了……我打开一看，这小李，没署名！！！
人在他乡心犹在,单位小李比较腼腆，给小刘写了封情书不敢自己给，托我转交！今早，小刘来我办公室：正叔，虽然平时叫你正哥，但你别忘了，你结婚了，大我十多岁，是叔叔级的人。还有，画画（我老婆）和我也算闺蜜，你给我写情书合适吗？……说完，把我转交给她的信摔在办公桌走了……我打开一看，这小李，没署名！！！
出门太难,傍晚，我开车和发小一起回家，看到一只公鸡在公路上转悠，估计是找不到回家的路了。发小一拍我的肩膀：看到那只公鸡没有？加速冲过去，我们晚上就有下酒菜了！我脑子一热，一轰油门就冲了过去，​就听呯～的一声响！把车停路边下去一看，公鸡卡在进气格里不动了。。。第二天，我去​换了个进气格花了二百多，气得我扇了自己两耳光：特么的，这只鸡也太贵了吧！！
空城旧梦她与伞,女儿淘气，把媳妇最喜欢的一套口红都折断了，媳妇气急败坏，拿出鸡毛掸子，要打她手心。刚好我妈从乡下过来，一看这架势连忙把我女儿搂着怀里，语重心长的对我媳妇说：小孩子犯了错，应该以教育为主，怎么能体罚呢？媳妇收起了鸡毛掸子，但脸色还是有点难看，坐在沙发上一言不发。老妈又说道：我知道你心里不舒服，这样吧，俗话都说子不教父之过，你狠狠的揍你老公一顿吧，消消气。
依丽若水,今天，外甥女突然喊起来“以前这时，不是郊游就是踏青，现在过.节都得写作业”。我扶着她的肩头，抿嘴一笑“到了夏天，就好了。。。”外甥女突然呆呆看着我的右手，再低头看看，突然大哭“这天天写作业，手指都变形了，以后我结婚怎么戴戒.指….”[口罩][口罩][中毒了][衰]
再见单身狗,发了几张我正在不收费风景区的图片到D音，收到好些回复，太美了、真好、我都想把它们当屏保了跳出来一条不太和谐的评论…美女，可不可以发些纯图的，每一张你都在里边有点破坏意境呼气，吸气，我不生气！过了会又看，那个评论上的赞比我发的图片都高！
十里柔情一帘幽梦,疫情期间，同事们不约而同的改变了打招呼方式，见面点头示意，我还采取一贯的优良作风，见人就笑。公司领导找我们经理谈话了：你们部门的小郭咋回事啊？好几位同事反映，她见人就傲慢无理的眯上眼，今天更过分，见了厂长直接把眼睛闭上了！
净心居士,第一次来女友家，紧张的我把橘子当苹果咬了一大口。为了掩饰尴尬，和阿姨找起了话题，于是我就问女友妈妈:阿姨，什么时候生日啊！喜欢什么到你生日的时候我买给你。当看到女友爸爸外面进来的时候我喊到:姨夫不要忙了，过来坐一会儿[捂脸][捂脸][捂脸][捂脸][捂脸]
飞漠刀影!!,上火，嘴边起了个大疖子，说话都要慢点说。我去社区医院拿药，碰上隔壁楼的大牛也来拿药，他手膀子破皮了。我问他怎么了，大牛说他爸买了个大坐扇扛着回来的，到家才发现坐扇脑袋不见了…我说然后你出去找摔跤了？他说：“我出门之前没忍住，笑出声了。”玛德我也没忍住！疼死了！！
五少爷的刀,昨天晚上喝多了，睡到半夜突然发了疯，跑到大街上拦了辆出租车，告诉师傅送我去潍坊。师傅很好奇：大半夜的，去潍坊干啥呢？我想了半天也不知道我要去干什么，只好说：你帮我想想。师傅说：找你女朋友？我大喜：对对对。是这个理由。可是……我没有女朋友啊！师傅停下车，打开车门，一脚把我踹了下来。。。
聊天不撩妹子,楼下小超市买烟，老板俩口子不在，他家的上三年级的孩子在收银台上写作业，就让他给我拿包烟，他抬头看看我，说卖东西不是他的事，他只负责看店，不负责卖东西。他低头从台子里拿一条给我道：马伯伯借一条给你都行的，卖不行。我问：借行？为啥卖不行？他：马伯！你有烟抽就行了，问那么多干啥？银钱不过手知道吗？再问不借你了！你以为我不想收钱吗？还不是妈妈说售货款老差，爸爸非说是我拿的吗！！！我。。。
出门太难,楼下小超市买烟，老板俩口子不在，他家的上三年级的孩子在收银台上写作业，就让他给我拿包烟，他抬头看看我，说卖东西不是他的事，他只负责看店，不负责卖东西。他低头从台子里拿一条给我道：马伯伯借一条给你都行的，卖不行。我问：借行？为啥卖不行？他：马伯！你有烟抽就行了，问那么多干啥？银钱不过手知道吗？再问不借你了！你以为我不想收钱吗？还不是妈妈说售货款老差，爸爸非说是我拿的吗！！！我。。。
出门太难,我有个侄子，小学念完就辍学了。十六岁时，嫂子天天催他找媳妇，侄子貌似也有些心动，被我制止了：他现在还是个孩子，找个比他小一点的姑娘，生个小小孩，到时候三个小孩闹腾起来，谁受得了？！嫂子想想有理，遂不提……如今，侄子已快奔三了，还没找到对象……每次见到他，我都得绕路！不为其他的，就因为嫂子天天说，当初侄子要娶的女孩现在是他婶婶——我老婆！！​
夏有凉风秋望月,假期带男友第一次见我父母，表现的很不错。晚上老爸说要和 我男票一起 睡。第二天看到都是黑眼圈的男票，我好奇的问:你这黑眼圈咋回事？？？男票委屈的说:他一个晚上都没敢睡，怕睡着了像搂着你一样不自觉的去搂你爸，谁知道半夜，你爸却搂着我，吓了我更不敢睡，也不敢动[大哭][大哭][大哭]
撞死一只羊,老板在开视频会议时不小心打开了滤镜，把自己变成了一颗土豆。因为不知道怎么关掉滤镜，整场会议，他都被困在土豆里……
吃了两碗又盛,给小外甥苹果，他不吃，就像唐僧见了人参果。我纳闷了，这孩子原先挺爱吃苹果啊？小外甥眼皮一马达:你忘了，去年你给我一个苹果，我一咬，门牙都硌掉了！这好不容易长出来新牙，可不能吃你家苹果了。我[捂脸][捂脸][捂脸]
飞漠刀影!!,同事借宿在我这好几天了。我委婉提醒他天热，两大老爷们挤一张床，难受。他说他不敢回家。五一在家帮忙干农活，在地里不小心踩滑了，糟蹋了一大片玉米苗，他爸说要打断他的腿。我很惊讶，这点小事，你亲爸对你这狠？同事：“也不狠，要是我儿子干坏事还逃跑，害的我踩到钉耙的齿上，我也要打断他的腿的。”[流鼻血]
男渣医生医渣男,和老婆大吵一架后和好了，老婆说：“这次真的要被你气死!要是再有一次就离婚!两个孩子都不给你!”我嬉皮笑脸的说：“那样孩子会想我、会不愿意的。”老婆说：“那我就骗他们说不是你亲生的!”
诸葛思慧,厂里机器坏了，报修了，人家因为疫情来不了，我闲着没事捣鼓捣鼓就好了，干了一天活儿后，副厂长找我谈话，因为破坏厂里规定罚款500，出于个人感谢又奖励2500，让我好好干。
姐姐掉沟里了,厂里机器坏了，报修了，人家因为疫情来不了，我闲着没事捣鼓捣鼓就好了，干了一天活儿后，副厂长找我谈话，因为破坏厂里规定罚款500，出于个人感谢又奖励2500，让我好好干。
无书斋主,今晚到爸妈那吃饭，老妈做了一桌很丰盛的菜，准备吃的时间，老爸突然生起气来，横鼻子竖眼睛的把我骂了一顿……说真话，我有点懵……就在我快憋不准顶撞几句的时间，老妈从厨房拿了瓶米酒，晃了晃对老爸说：米酒可以喝点，高度白酒想都别想，骂也没用……唉……我爸喝着米酒把我骂了一个多小时，怪我没给他买高度白酒！！
空城旧梦她与伞,老丈人过来城里玩，我要接风洗尘，媳妇说农业生态园里，有一家新开的野菜馆，味道很好，而且是绿色食品，健康。到了那里，饭馆装修的挺豪华，我们都以为可以大吃一顿啦。等服务员一盘盘的上了菜，老丈人生气的拍着桌子，指着媳妇骂：死妮子，我大老远跑过来，你就让我吃这个？你仔细看看，这几样菜，哪一样不是你小时候扯过的猪草？
记忆那一抹微笑う,年前，有次跟女友聊天吵架了，我声情并茂的骂了她一顿，人家直接把聊天内容截图保存了。这不，两个月不能出门，她只要心情不好，想吃零食就把保存的截图看一遍。然后，她就狠狠的揍我一顿！！！
小恩的老公8,女人心，海底针，媳妇下班回来就和我闹，整整闹了一个多小时，媳妇从天南海北扯到全球气候变暖，从我俩第一次见面到如今七年之痒，我终于弄明白了，媳妇下班有个学生问路的时候喊她一句阿姨……
小恩的老公8,单位附近新开了家面馆，就带女朋友去吃，觉得味道一般。有天女朋友和我闹脾气，我一个人去了这家面馆，吃完付钱的时候老板娘神秘兮兮的和我说：这位小哥，你来之前，我看到你上次带的那个女的和一个帅小伙过来吃面……我一听，很是感谢老板娘，以后每次交女朋友都先带去老板娘店里吃饭！后来换过十多次女朋友了，老板娘也看不过去了，特意让她的女儿嫁给我……
雪里黄蓝绿,闺女每天早上都在电脑上晨读，然后用手机录音拍照去群里给老师检查。今天电脑居然断网了，晨读错过了，导致我被老师点名批评没督促孩子。中午跟老公视频时，我觉得委屈，老公很诧异说非要在电脑上读？前天不是发了课本吗？哈?妈耶我忘记了……老公问，孩子也忘记了啊？我转头问闺女，熊孩子转着脚丫子在看电视：“我没忘记，我不提醒你，我就可以少上一节课呀！”
飞漠刀影!!,闺女每天早上都在电脑上晨读，然后用手机录音拍照去群里给老师检查。今天电脑居然断网了，晨读错过了，导致我被老师点名批评没督促孩子。中午跟老公视频时，我觉得委屈，老公很诧异说非要在电脑上读？前天不是发了课本吗？哈?妈耶我忘记了……老公问，孩子也忘记了啊？我转头问闺女，熊孩子转着脚丫子在看电视：“我没忘记，我不提醒你，我就可以少上一节课呀！”
坏小孩cium,自从有历史这门学科开始，我就从来没及过格，可怕的是历史老师还不放过我，让我初中三年当了三年历史课代表，怎么求都没用，那种课代表还不及格的痛苦真是无以言表。更更可怕的事，高中了，高中，历史老师不知道为啥又一眼就相中了我，又特么按着我当了三年历史课代表，而我。。。历史依然不及格。。。
花落彼岸～任逍遥,我侄女是幼儿园老师，她女儿归她教，别的孩子在幼儿园里哭找妈妈，小家伙倒好人家哭天喊地的找爸爸
吴鑫卞布慧授伤,站凳子上取东西，忽然脚下打滑摔了下去，这时老板连忙跑了过来，我脑海里顿时想起女主被男主接住转圈圈的画面。老板扶住我，问：你怎么摔倒了？我激动的说：我没事，我没事刚刚头晕了一下。就刚刚，老板觉得我体质不好，不适合做这份工作，给我工资结了。。。
五少爷的刀,表妹来找我，说她哥在北山村包了点活计，叫她去帮忙做几天饭。那里偏僻，她一个人不敢去，叫我送她。我把表妹送到目的地后，表妹从包里掏出个红色的塑料袋给我，说：里面有一双鞋垫，我亲手做的！送给你垫吧！我笑笑，接过来往兜里一揣，骑上摩托就回来了，到家打开一看，傻眼了：两只鞋垫背靠背用红丝线捆在一起，还打了个同心结！鞋垫上，分别绣着爱你两个字！肯定是绣给她男朋友的！拿错了！我嘀咕一句，跳上车，把鞋垫送回去还给了表妹，好奇的问她，她男朋友是谁，哪里人。表妹沉默了一会，顺手把鞋垫扔进灶膛里，烧了。。
五少爷的刀,那年和初恋分手后，我郁抑成疾，满脑子只会想着如何寻找一种华丽而悲壮的方式，来给我短暂的一生划上个句号。在衡量了世人自裁的种种憋端后，我产生了一个神奇的想法：买块豆腐撞 死得了！于是我来到了大街上，趁着豆腐摊老板不注意，跳起来，一头向那块磨盘大的豆腐撞去。。​那一天，我一举成名，成了一个天大的笑话！！
天热打鼓球,小学时，我和另外两名同学一直是班里倒数前三名。我们仨十分团结，成绩稳定不说，动手能力还强，经常和同学打成一片，人送外号——铁三角。后来老师只用了一招，就瓦解了我们的铁三角：一次考试后，他让我们中成绩好的那个，打另外两个人的手板，并说，下次还这样！
(糗名昭著)~魅儿…,感冒快好了，和闺蜜去医院最后一次输液巩固下，男护士长的很帅，在我手背啪～啪～啪打了三下，闺蜜偷偷告诉我：他对你有意思，这三下是暗示夜里三点他下班，你一定要在门口等他。宁杀错不放过，寒风冷冻守到三点，毛都没见着，又冻感冒了！
胖香,楼下有个脑子不大明白的小哥哥，人特别善良可爱，就是有一点不好，每天一大早就拎着他妈妈跳广场舞用的大音响，在楼下放音乐，那高亢的：“在你的心上，自由的飞翔……”一响，都能把在睡梦中的我送走！今天早上不到7点又开始了，我拎着刀正准备夺门而出，我妈蹭的窜出来骂我：“自己懒还怪别人，你要是敢把这起床铃吓跑，我跟你没完！”
无书斋主,人逢喜事精神爽，接到正式通知，我这个千年老二转正了！！……虽然内心无欲无求了，但在这突然来的惊喜面前，我还是掩饰不住内心的激动……老朋友老同学老兄弟准备一个一个通知，庆祝下！！……砰，屁股上挨了一脚:崽饿了，泡奶粉去！……现实照进梦想，我……我特么是做了个梦！……
雪里黄蓝绿,前几天傍晚，跟老公在小区旁的公园里遛弯时他说长胖了，肚子都大了，我开玩笑说，呦都三个月了，再半年就可以生了。第二天我去买菜，碰上隔壁楼的一个阿姨，她说你怀孕了？恭喜恭喜啊，我说没有，阿姨一惊一乍的，你身体出问题了？难怪这么久了不生二胎…我都来不及说话，不远处有人跟她说话，她就走了。前两天老公告诉我，小区里有人叫他送我去医院。哎呀懒得理这些了。昨天我下楼拿快递，门卫大叔一脸怜悯对我说：“可怜的娃，这么年轻就得了绝症，唉～”我？？？？？！！！！！[捂脸][捂脸][捂脸][捂脸]
倾心倾情%%,小阮说:记得好多年前老公给我买了个手链，一千来块钱。他说几十块，马德第二天我就丢了。直到几年后我发现了小票，才来了一次迟到的哭泣。你真好骗[捂嘴]
老巫婆～～,跟男票吵架，我一激动把“滚”说成“呱”，还连续说了三次“呱 ，呱，呱”！我…………
青梅无关竹馬,清明去祭拜，小侄子祭拜完还给旁边的公墓磕头，问他为什么，他说要搞好邻里关系
夏有凉风秋望月,前几天，我遇到了念念不忘的前男友，那天我和闺蜜在逛街，闺蜜眼见，扯着我的手臂说，月月，你看那个是不是你的前男友？顺着闺蜜的手指看去，我正看见前男友正在往我们这边走来，眼光情深意切，我以为是前男友找我复合的，心里就像乱撞的小鹿，前男友走过来，跟我说，月月，几年不见，你还好吗？前段时间出差买了一个礼物，想送我女朋友，你帮我参谋一下，她会不会喜欢？
我是谁∽谁是我,前几天，我遇到了念念不忘的前男友，那天我和闺蜜在逛街，闺蜜眼见，扯着我的手臂说，月月，你看那个是不是你的前男友？顺着闺蜜的手指看去，我正看见前男友正在往我们这边走来，眼光情深意切，我以为是前男友找我复合的，心里就像乱撞的小鹿，前男友走过来，跟我说，月月，几年不见，你还好吗？前段时间出差买了一个礼物，想送我女朋友，你帮我参谋一下，她会不会喜欢？
芭蕉窗下听雨声,最近连续阴雨。眼看隔壁小区的野菜越长越老，心痒难耐的我今天终于冒着小雨动手了……当提着一包野菜的我心满意足的回到家时。坐在沙发上的老公看着湿漉漉的我，皮笑肉不笑的说道：小妹啊！你说你当初学习但凡有这一半的劲头，也不至于落到今日挖野菜的地步啊……[捂脸][捂脸]
无书斋主,中午，小李来我办公室叫我:正哥，刘嫂和小王在食堂打架了，你去处理下！！……我赶到食堂时，发现她们两个只是骂街，就随口说了句:打不打，不打就散场，影响大家休息！……特么，我话一说完，真打了！！……
石头，剪刀，破布,吃完早饭，看到女儿屋的床铺还没有整理，就训她，以后早上必须整理。她还犟嘴:“妈妈，我早起收拾好了待会睡午觉还得弄乱，我还费那个劲干啥呀。”呵呵，貌似她说的还挺有理……[疑问][疑问][疑问]
大爱浇水,都长这么大了？有对象了没？咋没开车回来？——来自邻居的亲切问候…
芭蕉窗下听雨声,家里洗衣机坏了，就新买了一个。当时带了皮尺量了尺寸，可回来后就不能进洗手间了。（因为洗衣机的管道和电线没量进去）委屈的打电话跟老公诉苦。老公说：找你妈妈！我莫名其妙的说：找我妈干啥？她也解决不了。谁知这货淡定的说：“我要退货”[捂脸][捂脸]
吃了两碗又盛,媳妇从外面回来，神情沮丧，目光黯淡，我问她怎么了，她说:我身份证丢了。我:没关系的，补办也花不了多长时间。媳妇:又找着了，有人捡到拍照发社区群里了。我:那你怎么还不高兴？媳妇:群里有个大爷上来就问，‘身份证上这是姑娘还是小伙啊？’
